Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
7.10,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",How do your gross global emissions (Scope 1 and 2 combined) for the reporting year compare to those of the previous reporting year?,No,Climate Change,All sectors,Yes,No,No change,C7.9,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.10.1,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory","Identify the reasons for any change in your gross global emissions (Scope 1 and 2 combined), and for each of them specify how your emissions compare to the previous year.",No,Climate Change,All sectors,Yes,No,No change,C7.9a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,Yes,No,Yes,No
7.10.2,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",Are your emissions performance calculations in 7.10 and 7.10.1 based on a location-based Scope 2 emissions figure or a market-based Scope 2 emissions figure?,No,Climate Change,All sectors,No,No,No change,C7.9b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.11,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",How do your total Scope 3 emissions for the reporting year compare to those of the previous reporting year?,No,Climate Change,CG,No,No,No change,C-CG7.10,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.11.1,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory","For each Scope 3 category calculated in 7.8, specify how your emissions compare to the previous year and identify the reason for any change.",No,Climate Change,CG,No,No,No change,C-CG7.10a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.12,7,Environmental Performance – Climate Change,Biogenic Emissions,Are carbon dioxide emissions from biogenic carbon relevant to your organization?,No,Climate Change,"All (except FS, AC, FB, and PF)",No,No,No change ,C6.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.12.1,7,Environmental Performance – Climate Change,Biogenic Emissions,Provide the emissions from biogenic carbon relevant to your organization in metric tons CO2.,No,Climate Change,"All (except FS, AC, FB, and PF)",No,No,No change,C6.7a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.13,7,Environmental Performance – Climate Change,Biogenic Emissions,Is biogenic carbon pertaining to your direct operations relevant to your current CDP climate change disclosure?,No,Climate Change,"AC, FB, PF",No,No,No change ,C-AC6.8/C-FB6.8/C-PF6.8,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.13.1,7,Environmental Performance – Climate Change,Biogenic Emissions,Account for biogenic carbon data pertaining to your direct operations and identify any exclusions.,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC6.8a/C-FB6.8a/C-PF6.8a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.14,7,Environmental Performance – Climate Change,Emissions Data – Agricultural Commodities,Do you calculate greenhouse gas emissions for each agricultural commodity reported as significant to your business?,No,Climate Change,"AC, FB, PF",No,No,Modified question,C-AC6.9/C-FB6.9/C-PF6.9,n/a,n/a,n/a,n/a,No,No,No,Yes,"This question has now been linked to module 1, with the commodities shown based on the commodities reported to be significant to the business in 1.23. ",No,No,No,No
7.15,7,Environmental Performance – Climate Change,Emissions Breakdown,Does your organization break down its Scope 1 emissions by greenhouse gas type?,No,Climate Change,All (except FS),No,No,No change ,C7.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.15.1,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions by greenhouse gas type and provide the source of each used global warming potential (GWP).,No,Climate Change,All (except FS),No,No,No change,C7.1a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.15.2,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions from coal mining activities in the reporting year by greenhouse gas type.,No,Climate Change,CO,No,No,No change,C-CO7.1b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.15.3,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions from electric utilities value chain activities by greenhouse gas type.,No,Climate Change,EU,No,No,No change ,C-EU7.1b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.15.4,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions from oil and gas value chain production activities by greenhouse gas type.,No,Climate Change,OG,No,No,No change,C-OG7.1b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.16,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 and 2 emissions by country/area.,No,Climate Change,All (except FS),No,No,Modified question,"C7.2, C7.5",n/a,n/a,n/a,n/a,No,No,No,Yes,"To align with RE100 recommendations, organisations are requested to report their emissions breakdown per country/area in line with their country/area of operations. The question now combines scope 1 and scope 2 breakdown, which were previously different questions. ",No,No,Yes,No
7.17,7,Environmental Performance – Climate Change,Emissions Breakdown,Indicate which gross global Scope 1 emissions breakdowns you are able to provide.,No,Climate Change,All (except FS),No,No,No change,C7.3,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.17.1,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions by business division.,No,Climate Change,All (except FS),No,No,No change,C7.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.17.2,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions by business facility.,No,Climate Change,All (except FS),No,No,No change,C7.3b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.17.3,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 1 emissions by business activity.,No,Climate Change,All (except FS),No,No,No change,C7.3c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.18,7,Environmental Performance – Climate Change,Emissions Breakdown,Do you include emissions pertaining to your business activity(ies) in your direct operations as part of your global gross Scope 1 figure?,No,Climate Change,"AC, FB, PF",No,No,Revised question dependency,C-AC7.4/C-FB7.4/C-PF7.4,n/a,n/a,n/a,n/a,No,No,No,Yes,Question dependency has been updated to reflect the modified question 1.11.,No,No,No,No
7.18.1,7,Environmental Performance – Climate Change,Emissions Breakdown,Select the form(s) in which you are reporting your agricultural/forestry emissions.,No,Climate Change,"AC, FB, PF",No,No,Revised question dependency,C-AC7.4a/C-FB7.4a/C-PF7.4a,n/a,n/a,n/a,n/a,No,No,No,Yes,Question dependency has been updated to reflect the modified question 1.11.,No,No,No,No
7.18.2,7,Environmental Performance – Climate Change,Emissions Breakdown,"Report the Scope 1 emissions pertaining to your business activity(ies) and explain any exclusions. If applicable, disaggregate your agricultural/forestry by GHG emissions category.",No,Climate Change,"AC, FB, PF",No,No,No change,C-AC7.4b/C-FB7.4b/C-PF7.4b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.18.3,7,Environmental Performance – Climate Change,Emissions Breakdown,Why do you not include greenhouse gas emissions pertaining your business activity(ies) in your direct operations as part of your global gross Scope 1 figure? Describe any plans to do so in the future.,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC7.4c/C-FB7.4c/C-PF7.4c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.19,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your organization’s total gross global Scope 1 emissions by sector production activity in metric tons CO2e.,No,Climate Change,"CE, CH, CO, EU, MM, OG, ST, TO, TS",No,No,No change,C-CE7.4/C-CH7.4/C-CO7.4/C-EU7.4/C-MM7.4/C-OG7.4/C-ST7.4/C-TO7.4/C-TS7.4,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.20,7,Environmental Performance – Climate Change,Emissions Breakdown,Indicate which gross global Scope 2 emissions breakdowns you are able to provide.,No,Climate Change,All (except FS and EU),No,No,No change,C7.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.20.1,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 2 emissions by business division.,No,Climate Change,All (except FS and EU),No,No,No change,C7.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.20.2,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 2 emissions by business facility.,No,Climate Change,All (except FS),No,No,No change,C7.6b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.20.3,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your total gross global Scope 2 emissions by business activity.,No,Climate Change,All (except FS),No,No,No change,C7.6c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.21,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your organization’s total gross global Scope 2 emissions by sector production activity in metric tons CO2e.,No,Climate Change,"CE, CH, CO, MM, OG, ST, TO, TS",No,No,No change,C-CE7.7/C-CH7.7/C-CO7.7/C-MM7.7/C-OG7.7/C-ST7.7/C-TO7.7/C-TS7.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.22,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your gross Scope 1 and Scope 2 emissions between your consolidated accounting group and other entities included in your response.,No,Climate Change,All (except FS),No,No,New question,n/a,n/a,n/a,n/a,n/a,No,Yes,No,No,"To align with IFRS S2, organizations are requested to break down their emissions by their consolidated accounting group and all other entities.",Yes,No,No,No
7.23,7,Environmental Performance – Climate Change,Emissions Breakdown,Is your organization able to break down your emissions data for any of the subsidiaries included in your CDP response?,No,Climate Change,All sectors,No,No,No change,C7.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.23.1,7,Environmental Performance – Climate Change,Emissions Breakdown,Break down your gross Scope 1 and Scope 2 emissions by subsidiary.,No,Climate Change,All sectors,No,No,Modified question ,C7.7a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,"Additional organisation identify number types added, and guidance on reporting using a consolidated accounting approach. ",No,No,Yes,No
7.24,7,Environmental Performance – Climate Change,Emissions Breakdown,Report your methane emissions as percentages of natural gas and hydrocarbon production or throughput.,No,Climate Change,OG,No,No,Modified question,C-OG6.13,n/a,n/a,n/a,n/a,No,No,No,Yes,"A new data point added to improve the reporting of methane emissions, requesting the method used for calculating methane emissions. This is in line with the Aiming for Net Zero Methane Emissions Initiative recommendations. ",No,No,No,No
7.25,7,Environmental Performance – Climate Change,Emissions Breakdown,"Disclose the percentage of your organization’s Scope 3, Category 1 emissions by purchased chemical feedstock.",No,Climate Change,CH,No,No,No change,C-CH7.8,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.25.1,7,Environmental Performance – Climate Change,Emissions Breakdown,Disclose sales of products that are greenhouse gases.,No,Climate Change,CH,No,No,No change,C-CH7.8a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.26,7,Environmental Performance – Climate Change,Emissions Breakdown,Allocate your emissions to your customers listed below according to the goods or services you have sold them in this reporting period.,No,Climate Change,All sectors,No,Yes,Modified question,"SC1.1, SC1.2",n/a,n/a,n/a,n/a,No,No,No,Yes,This question has combined two questions (2023 SC1.1 and SC1.2) to allow scope 1 and scope 2 emissions allocation to be reported in the same question. ,No,No,No,No
7.27,7,Environmental Performance – Climate Change,Emissions Breakdown,"What are the challenges in allocating emissions to different customers, and what would help you to overcome these challenges?",No,Climate Change,All sectors,No,Yes,No change,SC1.3,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.28,7,Environmental Performance – Climate Change,Emissions Breakdown,Do you plan to develop your capabilities to allocate emissions to your customers in the future?,No,Climate Change,All sectors,No,Yes,Modified question,"SC1.4, SC1.4a, SC1.4b",n/a,n/a,n/a,n/a,No,No,No,Yes,"This question has combined three questions (2023 SC1.4, SC1.4a, SC1.4b). ",No,No,No,No
7.29,7,Environmental Performance – Climate Change,Energy-Related Activities,What percentage of your total operational spend in the reporting year was on energy?,No,Climate Change,All sectors,No,No,No change,C8.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30,7,Environmental Performance – Climate Change,Energy-Related Activities,Select which energy-related activities your organization has undertaken.,No,Climate Change,All sectors,Yes,No,No change,C8.2,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.1,7,Environmental Performance – Climate Change,Energy-Related Activities,Report your organization’s energy consumption totals (excluding feedstocks) in MWh.,No,Climate Change,All sectors,Yes,No,No change,C8.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.30.2,7,Environmental Performance – Climate Change,Energy-Related Activities,Report your organization’s energy consumption totals (excluding feedstocks) for cement production activities in MWh.,No,Climate Change,CE,No,No,No change,C-CE8.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.3,7,Environmental Performance – Climate Change,Energy-Related Activities,Report your organization’s energy consumption totals (excluding feedstocks) for chemical production activities in MWh.,No,Climate Change,CH,No,No,No change,C-CH8.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.4,7,Environmental Performance – Climate Change,Energy-Related Activities,Report your organization’s energy consumption totals (excluding feedstocks) for metals and mining production activities in MWh.,No,Climate Change,MM,No,No,No change,C-MM8.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.5,7,Environmental Performance – Climate Change,Energy-Related Activities,Report your organization’s energy consumption totals (excluding feedstocks) for steel production activities in MWh.,No,Climate Change,ST,No,No,No change,C-ST8.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.6,7,Environmental Performance – Climate Change,Energy-Related Activities,Select the applications of your organization’s consumption of fuel.,No,Climate Change,All (except FS),Yes,No,No change,C8.2b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.7,7,Environmental Performance – Climate Change,Energy-Related Activities,State how much fuel in MWh your organization has consumed (excluding feedstocks) by fuel type.,No,Climate Change,All (except FS),No,No,Modified guidance ,C8.2c,n/a,n/a,n/a,n/a,No,No,No,Yes,Guidance has been added for reporting blended biofuels. ,No,No,Yes,No
7.30.8,7,Environmental Performance – Climate Change,Energy-Related Activities,State how much fuel in MWh your organization has consumed (excluding feedstocks) by fuel for cement production activities.,No,Climate Change,CE,No,No,No change,C-CE8.2c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.9,7,Environmental Performance – Climate Change,Energy-Related Activities,"Provide details on the electricity, heat, steam, and cooling your organization has generated and consumed in the reporting year.",No,Climate Change,All (except FS and EU),Yes,No,No change,C8.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.30.10,7,Environmental Performance – Climate Change,Energy-Related Activities,Provide details on the electricity and heat your organization has generated and consumed for cement production activities.,No,Climate Change,CE,No,No,No change ,C-CE8.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.11,7,Environmental Performance – Climate Change,Energy-Related Activities,"Provide details on electricity, heat, steam, and cooling your organization has generated and consumed for chemical production activities.",No,Climate Change,CH,No,No,No change,C-CH8.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.12,7,Environmental Performance – Climate Change,Energy-Related Activities,"Provide details on the electricity, heat, steam, and cooling your organization has generated and consumed for metals and mining production activities.",No,Climate Change,MM,No,No,No change,C-MM8.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.13,7,Environmental Performance – Climate Change,Energy-Related Activities,"Provide details on the electricity, heat, and steam your organization has generated and consumed for steel production activities.",No,Climate Change,ST,No,No,No change,C-ST8.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.14,7,Environmental Performance – Climate Change,Energy-Related Activities,"Provide details on the electricity, heat, steam, and/or cooling amounts that were accounted for at a zero or near-zero emission factor in the market-based Scope 2 figure reported in 7.7.",No,Climate Change,All (except FS and EU),No,No,Minor change,C8.2e,n/a,n/a,n/a,n/a,No,No,Yes,No,"To align with the RE100 initiative, the tracking instruments used options have been updated. ",No,No,No,No
7.30.15,7,Environmental Performance – Climate Change,Energy-Related Activities,Provide details on the average emission factor used for all transport movements per mode that directly source energy from the grid.,No,Climate Change,TS,No,No,No change,C-TS8.2f,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.16,7,Environmental Performance – Climate Change,Energy-Related Activities,Provide a breakdown by country/area of your electricity/heat/steam/cooling consumption in the reporting year.,No,Climate Change,All sectors,No,No,Modified question,C8.2g,n/a,n/a,n/a,n/a,No,No,No,Yes,"This question now links to 1.7, meaning the country/area emissions breakdown is automatically request a breakdown for the countries/areas the organization is active in. ",No,No,Yes,No
7.30.17,7,Environmental Performance – Climate Change,Energy-Related Activities,Provide details of your organization’s renewable electricity purchases in the reporting year by country/area.,No,Climate Change,All (except FS),No,No,Minor change,C8.2h,n/a,n/a,n/a,n/a,No,No,Yes,No,"To align with the RE100 initiative, the tracking instruments used options have been updated. ",No,No,Yes,No
7.30.18,7,Environmental Performance – Climate Change,Energy-Related Activities,"Provide details of your organization’s low-carbon heat, steam, and cooling purchases in the reporting year by country/area.",No,Climate Change,All (except FS),No,No,No change,C8.2i,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.19,7,Environmental Performance – Climate Change,Energy-Related Activities,Provide details of your organization’s renewable electricity generation by country/area in the reporting year.,No,Climate Change,All (except FS),No,No,No change,C8.2j,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.30.20,7,Environmental Performance – Climate Change,Energy-Related Activities,Describe how your organization’s renewable electricity sourcing strategy directly or indirectly contributes to bringing new capacity into the grid in the countries/areas in which you operate.,No,Climate Change,All (except FS),No,No,No change,C8.2k,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.21,7,Environmental Performance – Climate Change,Energy-Related Activities,"In the reporting year, has your organization faced barriers or challenges to sourcing renewable electricity?",No,Climate Change,All (except FS),No,No,No change,C8.2l,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.30.22,7,Environmental Performance – Climate Change,Energy-Related Activities,Provide details of the country/area-specific challenges to sourcing renewable electricity faced by your organization in the reporting year.,No,Climate Change,All (except FS),No,No,No change,C8.2m,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.31,7,Environmental Performance – Climate Change,Energy-Related Activities,Does your organization consume fuels as feedstocks for chemical production activities?,No,Climate Change,CH,No,No,No change,C-CH8.3,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.31.1,7,Environmental Performance – Climate Change,Energy-Related Activities,Disclose details on your organization’s consumption of feedstocks for chemical production activities.,No,Climate Change,CH,No,No,No change,C-CH8.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.31.2,7,Environmental Performance – Climate Change,Energy-Related Activities,"State the percentage, by mass, of primary resource from which your chemical feedstocks derive.",No,Climate Change,CH,No,No,Modified question,C-CH8.3b,n/a,n/a,n/a,n/a,No,No,No,Yes,This question now also requests the direction of change in the chemical feedstock e.g. increased. ,No,No,No,No
7.32,7,Environmental Performance – Climate Change,Energy-Related Activities,Disclose details on your organization’s consumption of feedstocks for steel production activities.,No,Climate Change,ST,No,No,No change,C-ST8.3,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.33,7,Environmental Performance – Climate Change,Electricity transmission and distribution,Does your electric utility organization have a transmission and distribution business?,No,Climate Change,EU,No,No,No change,C-EU8.4,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.33.1,7,Environmental Performance – Climate Change,Electricity transmission and distribution,Disclose the following information about your transmission and distribution business.,No,Climate Change,EU,No,No,No change,C-EU8.4a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.34,7,Environmental Performance – Climate Change,Sector-specific efficiency metrics,Does your organization measure the efficiency of any of its products or services?,No,Climate Change,CG,No,No,No change,C-CG8.5,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.34.1,7,Environmental Performance – Climate Change,Sector-specific efficiency metrics,Provide details of the metrics used to measure the efficiency of your organization's products or services.,No,Climate Change,CG,No,No,No change,C-CG8.5a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.35,7,Environmental Performance – Climate Change,Sector-specific efficiency metrics,Provide any efficiency metrics that are appropriate for your organization’s transport products and/or services.,No,Climate Change,TO,No,No,No change,C-TO8.5,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.36,7,Environmental Performance – Climate Change,Sector-specific efficiency metrics,Provide any efficiency metrics that are appropriate for your organization’s transport products and/or services.,No,Climate Change,TS,No,No,No change,C-TS8.5,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.37,7,Environmental Performance – Climate Change,Production Data,Disclose coal reserves and production by coal type attributable to your organization in the reporting year.,No,Climate Change,CO,No,No,No change,C-CO9.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.37.1,7,Environmental Performance – Climate Change,Production Data,Disclose coal resources by coal type attributable to your organization in the reporting year.,No,Climate Change,CO,No,No,No change,C-CO9.2b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.38,7,Environmental Performance – Climate Change,Production Data,Disclose your net liquid and gas hydrocarbon production (total of subsidiaries and equity-accounted entities).,No,Climate Change,OG,No,No,No change,C-OG9.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.38.1,7,Environmental Performance – Climate Change,Production Data,"Explain which listing requirements or other methodologies you use to report reserves data. If your organization cannot provide data due to legal restrictions on reporting reserves figures in certain countries/areas, please explain this.",No,Climate Change,OG,No,No,No change,C-OG9.2b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.38.2,7,Environmental Performance – Climate Change,Production Data,"Disclose your estimated total net reserves and resource base (million BOE), including the total associated with subsidiaries and equity-accounted entities.",No,Climate Change,OG,No,No,No change,C-OG9.2c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.38.3,7,Environmental Performance – Climate Change,Production Data,"Provide an indicative percentage split for 2P, 3P reserves, and total resource base by hydrocarbon categories.",No,Climate Change,OG,No,No,No change,C-OG9.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.38.4,7,Environmental Performance – Climate Change,Production Data,"Provide an indicative percentage split for production, 1P, 2P, 3P reserves, and total resource base by development types.",No,Climate Change,CO,No,No,No change,C-OG9.2e,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.39,7,Environmental Performance – Climate Change,Production Data,Provide details on your organization’s chemical products.,No,Climate Change,CH,No,No,No change,C-CH9.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.40,7,Environmental Performance – Climate Change,Production Data,Break down the coal production attributed to your organization in the reporting year by grade.,No,Climate Change,CO,No,No,No change,C-CO9.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.40.1,7,Environmental Performance – Climate Change,Production Data,Break down the coal production attributed to your organization in the reporting year by mine type.,No,Climate Change,CO,No,No,No change,C-CO9.3b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.41,7,Environmental Performance – Climate Change,Production Data,"Report your organization’s steel-related consumption, production and capacity figures by steel plant.",No,Climate Change,ST,No,No,No change,C-ST9.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.41.1,7,Environmental Performance – Climate Change,Production Data,Report your organization’s steel-related production outputs and capacities by product.,No,Climate Change,MM,No,No,No change,C-ST9.3b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.42,7,Environmental Performance – Climate Change,Production Data,Provide details on the commodities relevant to the mining production activities of your organization.,No,Climate Change,MM,No,No,No change,C-MM9.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.42.1,7,Environmental Performance – Climate Change,Production Data,Provide details on the commodities relevant to the metals production activities of your organization.,No,Climate Change,OG,No,No,No change,C-MM9.3b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.43,7,Environmental Performance – Climate Change,Production Data,Disclose your total refinery throughput capacity in the reporting year in thousand barrels per day.,No,Climate Change,OG,No,No,No change,C-OG9.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.43.1,7,Environmental Performance – Climate Change,Production Data,Disclose feedstocks processed in the reporting year in million barrels per year.,No,Climate Change,OG,No,No,No change,C-OG9.3b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.43.2,7,Environmental Performance – Climate Change,Production Data,Are able you able to break down your refinery products and net production?,No,Climate Change,OG,No,No,No change,C-OG9.3c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.43.3,7,Environmental Performance – Climate Change,Production Data,Disclose your refinery products and net production in the reporting year in million barrels per year.,No,Climate Change,OG,No,No,No change,C-OG9.3d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.43.4,7,Environmental Performance – Climate Change,Production Data,Please disclose your chemicals production in the reporting year in thousand metric tons.,No,Climate Change,OG,No,No,No change,C-OG9.3e,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.44,7,Environmental Performance – Climate Change,Production Data,"Explain which listing requirements or other methodologies you have used to provide reserves data in C-CO9.2a. If your organization cannot provide data due to legal restrictions on reporting reserves figures in certain countries/areas, please explain this.",No,Climate Change,CO,No,No,No change,C-CO9.4a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.45,7,Environmental Performance – Climate Change,Intensity Metrics,Describe your gross global combined Scope 1 and 2 emissions for the reporting year in metric tons CO2e per unit currency total revenue and provide any additional intensity metrics that are appropriate to your business operations.,No,Climate Change,All sectors,Yes,No,Minor change,C6.10,n/a,n/a,n/a,n/a,No,No,No,Yes,An additional drop-down has been added for EU sector organizations - ‘megawatt hour purchased (MWh). ,No,No,Yes,No
7.46,7,Environmental Performance – Climate Change,Intensity Metrics,"For your electric utility activities, provide a breakdown of your Scope 1 emissions and emissions intensity relating to your total power plant capacity and generation during the reporting year by source.",No,Climate Change,EU,No,No,Modified question,C-EU8.2d,n/a,n/a,n/a,n/a,No,No,No,Yes,"This question now requests whether emissions intensity values are based on net or gross values. Furthermore, the scope 1 emissions intensities are now auto calculated. ",No,No,No,No
7.47,7,Environmental Performance – Climate Change,Intensity Metrics,State your organization’s Scope 1 and Scope 2 emissions intensities related to cement production activities.,No,Climate Change,CE,No,No,No change,C-CE6.11,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.48,7,Environmental Performance – Climate Change,Intensity Metrics,Provide the intensity figures for Scope 1 emissions (metric tons CO2e) per unit of hydrocarbon category.,No,Climate Change,OG,No,No,No change,C-OG6.12,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.49,7,Environmental Performance – Climate Change,Intensity Metrics,State your organization’s emissions and energy intensities by steel production process route.,No,Climate Change,ST,No,No,No change,C-ST6.14,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
